"feel_biden","feel_trump","feel_fauci","feel_feminists","feel_unions","feel_bigbusiness","feel_gay","feel_muslim","feel_christian","feel_jewish","feel_police","feel_scientists","feel_nra","feel_fbi","feel_rural","feel_cdc"
60,15,70,40,40,60,85,40,70,70,15,85,40,30,50,40
15,95,60,70,70,85,60,70,100,90,100,70,90,90,90,90
0,100,15,30,40,50,40,50,70,70,85,70,60,30,85,50
85,0,85,85,85,70,70,70,85,85,70,100,0,70,85,85
100,30,100,75,75,60,85,70,85,85,85,85,40,100,85,100
50,0,50,50,50,0,70,0,100,50,30,50,50,0,50,50
0,100,85,85,100,60,100,0,50,50,100,85,100,100,85,100
85,30,85,60,70,60,70,50,85,85,85,85,40,70,85,85
70,85,100,100,86,100,50,70,100,100,100,70,100,85,85,100
60,0,40,60,60,50,60,40,50,40,85,70,60,70,40,50
60,70,85,85,70,50,100,85,85,100,100,100,85,40,100,60
100,40,100,85,100,60,100,85,100,100,40,100,30,70,100,85
85,15,85,70,70,40,70,40,60,60,70,100,70,70,60,85
70,60,100,60,85,50,50,50,60,70,40,85,60,60,50,60
60,40,70,60,60,85,60,60,60,60,70,100,85,40,40,85
100,0,100,100,100,85,100,70,100,60,100,100,30,100,100,100
0,100,0,60,70,0,85,60,85,85,100,85,100,70,70,60
100,100,50,100,40,30,100,100,100,100,100,40,100,0,100,40
70,40,50,40,60,85,50,50,70,60,60,60,50,50,50,50
40,70,40,50,50,40,40,60,100,70,85,60,70,70,85,60
40,60,40,30,50,30,60,0,100,100,100,60,70,50,100,30
85,0,100,70,70,15,70,70,70,70,70,85,15,85,70,70
85,0,100,100,70,30,100,100,50,100,35,100,0,50,40,100
0,60,0,0,0,0,0,0,60,50,20,60,100,0,100,50
60,70,85,85,40,70,50,50,85,50,60,85,70,60,85,85
0,100,50,30,0,85,0,0,100,85,100,40,100,100,100,40
85,0,85,50,50,85,100,50,70,50,100,60,50,85,50,70
0,100,50,50,50,60,0,50,100,100,100,70,100,70,100,85
70,30,60,100,100,90,100,100,100,100,90,85,50,50,60,100
70,30,50,70,100,60,50,70,85,70,50,60,85,70,70,70
85,0,90,40,50,15,70,50,30,85,30,100,5,50,10,75
0,0,75,95,85,0,100,100,0,85,0,100,0,0,95,95
100,0,85,70,85,15,100,70,50,85,85,70,15,60,50,60
85,0,100,85,100,70,100,40,100,60,50,100,0,50,40,85
70,0,100,70,70,50,70,70,70,85,70,85,15,85,50,85
100,0,100,85,70,30,100,100,40,85,30,100,0,60,60,85
85,0,85,85,85,50,100,50,85,85,85,85,50,85,70,85
0,70,85,0,50,0,50,50,70,50,100,70,60,50,100,60
50,50,50,100,50,50,100,50,50,50,100,50,100,100,50,100
40,0,85,40,40,60,50,50,50,50,60,60,50,70,50,85
40,60,50,60,85,70,85,85,85,85,85,70,70,50,85,40
70,0,85,100,85,70,100,100,30,85,40,100,30,70,40,85
0,100,50,50,50,50,50,50,100,50,85,50,50,50,50,50
70,0,100,70,100,85,100,0,100,100,70,100,50,70,60,100
40,45,60,50,50,50,50,50,60,50,65,65,50,50,50,55
50,100,100,50,50,60,50,50,70,50,60,100,70,60,50,100
99,0,95,98,80,85,90,80,85,95,70,99,0,88,70,90
85,0,100,100,85,70,85,70,60,100,60,100,0,70,85,100
70,0,75,40,85,0,70,85,60,50,15,70,15,15,50,40
50,70,30,50,85,85,0,70,70,70,100,100,85,70,70,85
0,100,50,50,100,50,50,50,100,50,100,50,100,50,100,100
30,75,60,75,60,60,75,50,100,70,70,80,55,65,60,60
60,70,85,70,40,70,70,70,100,70,85,85,85,85,100,85
40,80,50,50,50,40,50,50,90,90,90,80,90,100,100,70
85,0,100,50,100,15,50,50,85,50,0,100,30,0,50,70
50,50,70,50,30,40,50,50,70,50,85,70,50,70,85,50
100,50,100,100,100,100,100,40,100,100,100,100,85,85,100,100
60,15,70,15,15,40,15,85,100,85,85,70,60,70,85,85
30,15,85,50,50,40,50,60,50,60,30,70,50,40,50,50
70,15,65,75,70,60,75,75,100,100,85,80,60,85,70,80
85,50,100,0,70,85,100,70,100,85,50,85,50,100,85,100
40,15,15,85,70,0,100,0,0,100,40,70,85,15,85,15
0,100,30,60,85,60,60,60,85,100,100,85,100,15,100,60
60,0,60,50,60,40,85,85,15,50,60,100,40,50,50,60
95,0,98,75,85,25,70,85,93,85,50,95,3,80,50,90
70,0,50,50,50,50,100,100,50,100,40,100,40,100,50,40
30,40,70,40,60,60,40,40,90,50,90,85,80,80,90,80
100,0,50,40,60,100,0,50,100,60,50,100,70,60,40,100
85,0,100,85,70,30,85,70,70,85,60,100,0,70,60,70
50,60,50,0,20,0,30,20,60,60,15,50,60,30,100,30
60,40,100,60,50,60,50,50,50,60,50,70,70,60,70,30
85,10,95,70,75,50,85,85,40,85,65,90,10,60,50,90
30,60,50,85,50,40,50,50,70,60,85,70,85,100,70,30
70,30,50,60,50,60,50,60,85,50,30,85,85,40,70,85
15,0,15,100,100,60,100,50,100,15,60,85,50,70,50,60
70,0,60,90,80,60,70,70,80,70,80,90,50,80,60,80
1,8,1,50,70,40,50,60,50,50,85,70,85,50,50,85
85,15,100,70,70,60,70,70,85,85,70,85,40,85,85,70
100,0,85,85,85,60,85,85,100,100,70,100,0,85,85,85
40,0,70,20,40,10,100,50,20,50,0,100,30,50,15,70
60,0,50,50,100,40,50,50,50,60,0,70,100,50,50,60
60,0,85,50,100,0,50,50,50,50,60,85,15,70,50,85
0,85,30,50,0,60,85,70,100,100,85,60,100,0,100,85
85,0,100,50,50,50,85,50,50,50,70,85,50,85,50,85
70,15,85,50,40,70,50,50,30,85,70,85,15,50,30,50
40,60,40,10,60,40,10,40,40,40,40,70,90,60,50,40
100,0,85,60,60,50,50,50,85,50,70,100,30,70,40,70
60,0,75,50,75,0,50,50,25,50,90,50,60,70,95,95
85,0,50,70,100,0,100,100,40,70,0,100,0,50,15,85
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
30,15,70,65,80,40,100,60,10,85,25,100,10,0,50,80
100,0,50,100,50,40,100,85,50,85,15,85,0,50,50,50
15,85,40,50,60,50,85,50,70,60,85,50,70,70,50,60
0,50,0,50,0,50,70,0,50,50,100,70,70,50,50,0
0,100,50,50,100,50,50,50,100,70,100,100,100,100,50,100
60,0,85,50,50,50,0,50,100,50,85,50,50,50,50,85
30,85,50,50,50,40,60,50,60,60,85,50,60,60,70,50
85,30,85,50,85,60,50,50,70,50,60,85,70,70,50,70
0,70,50,0,70,60,0,0,70,50,85,70,100,70,80,70
85,0,50,50,85,50,0,100,50,50,85,85,100,50,50,100
30,70,100,50,40,60,50,50,85,70,85,85,60,100,85,100
100,30,100,85,70,70,85,60,100,100,100,100,0,100,100,100
50,100,20,100,50,0,100,90,85,95,100,95,100,100,100,100
40,60,30,30,40,40,50,50,100,100,70,70,50,60,50,40
40,60,50,50,50,50,50,50,50,50,60,60,50,50,50,60
70,0,100,85,70,65,85,100,60,85,50,100,0,70,85,85
85,0,85,90,85,50,70,50,40,70,85,100,0,70,30,85
0,60,50,15,60,15,50,0,50,50,50,50,50,30,50,50
75,0,100,100,85,0,100,60,50,100,30,100,0,50,40,70
100,0,50,85,60,40,60,50,100,85,60,85,50,70,70,60
100,15,100,85,60,40,70,60,50,60,50,100,40,85,70,100
100,10,90,85,60,50,50,85,85,85,85,70,50,50,50,85
0,85,15,60,40,40,70,50,85,85,70,50,70,30,50,40
15,100,30,40,100,100,100,85,85,100,85,85,100,40,85,70
70,0,70,100,100,30,100,100,40,100,70,70,50,40,100,50
15,100,40,30,30,30,60,60,100,100,85,70,60,60,85,85
50,50,50,50,50,50,50,50,50,50,30,60,50,50,50,60
70,0,85,70,70,60,85,70,85,100,70,85,70,85,70,85
70,0,100,70,50,40,70,50,85,60,60,85,60,50,70,50
50,50,50,50,50,50,0,50,100,50,100,50,100,85,50,50
30,60,40,0,50,70,0,50,60,50,85,85,85,85,85,60
0,40,0,50,50,0,50,50,50,50,50,50,50,50,50,0
85,0,100,60,60,40,85,70,60,40,60,85,15,60,60,70
50,50,60,40,50,50,50,50,60,50,40,70,60,85,50,50
0,100,40,50,60,50,50,70,90,100,70,90,100,60,100,90
50,0,50,40,70,30,50,50,40,50,30,70,60,40,50,60
85,15,70,60,60,30,50,50,50,50,40,70,30,50,50,70
70,0,100,50,50,40,50,50,50,50,60,85,50,50,50,80
85,0,75,70,100,15,70,50,100,50,60,100,0,60,60,60
100,0,100,60,70,85,85,50,100,70,100,85,0,100,85,100
1,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1
70,40,70,85,40,70,30,50,85,50,70,100,30,60,60,70
30,30,0,100,100,40,100,70,15,100,50,100,100,100,100,100
0,100,15,30,15,85,30,15,85,70,85,70,85,60,85,60
92,24,90,10,20,80,100,65,70,100,90,100,10,85,90,95
70,0,100,70,85,40,100,70,30,70,40,85,15,70,85,70
70,15,85,85,70,70,70,70,85,85,85,100,60,85,50,70
30,30,30,50,100,0,100,50,50,50,75,100,50,75,50,1
0,100,80,40,90,100,0,0,100,90,100,0,100,100,100,100
50,70,40,60,50,60,40,15,60,70,40,85,85,85,40,85
100,0,100,100,100,50,50,100,85,100,100,100,0,100,70,100
85,0,100,85,60,60,85,70,85,100,70,85,0,70,70,85
15,0,85,85,100,0,100,100,15,100,0,85,0,0,40,100
85,5,50,60,40,60,95,45,90,85,95,85,30,90,70,70
85,0,100,85,60,60,85,60,85,100,85,100,0,85,70,85
75,0,65,55,40,40,80,80,40,75,60,85,15,50,75,60
40,70,70,50,75,15,50,50,50,50,80,85,40,80,75,80
95,0,95,95,100,0,100,90,50,90,10,100,10,85,70,100
14,95,49,57,47,1,95,49,100,80,50,99,100,33,88,25
15,85,50,70,85,60,85,85,85,85,100,70,90,85,85,85
100,0,70,60,70,60,20,40,60,40,60,70,30,70,10,60
10,85,70,70,60,40,70,60,70,60,70,70,70,70,70,70
100,0,100,70,50,60,60,85,85,100,85,85,70,70,70,100
30,40,30,50,100,0,100,70,0,100,50,85,40,50,50,70
15,60,50,40,85,70,100,50,50,50,70,100,100,70,70,100
40,85,50,60,75,60,80,75,85,75,75,95,80,75,80,65
40,70,40,50,60,60,30,15,85,60,100,60,85,85,85,70
85,0,100,85,60,30,70,60,60,70,40,85,30,60,40,60
0,80,60,49,66,50,50,50,77,50,66,55,89,60,88,45
50,85,50,100,50,40,100,85,100,85,100,50,100,100,85,100
0,100,40,0,50,60,50,50,85,85,85,50,85,30,85,40
50,85,100,30,100,40,70,50,100,100,70,85,100,100,85,100
100,10,15,100,100,100,15,100,100,15,10,100,50,15,15,12
15,85,85,15,50,70,100,50,50,60,100,100,85,85,100,85
50,0,50,85,100,0,60,100,100,70,15,85,15,30,30,85
0,70,30,15,30,60,30,30,85,40,60,40,70,30,85,30
100,0,100,85,85,40,50,50,50,50,85,100,0,100,50,85
0,100,15,50,50,40,50,50,100,85,60,70,60,70,50,60
50,50,50,50,50,0,50,50,50,50,0,50,50,50,50,50
75,5,85,50,70,40,50,45,55,50,80,100,45,95,85,95
70,0,100,0,85,30,50,50,100,100,70,60,15,60,40,85
45,75,85,100,85,100,100,100,100,100,100,100,100,90,100,100
70,0,50,100,70,50,100,100,100,100,0,70,50,15,50,50
70,0,90,50,40,30,50,50,40,40,40,85,15,60,50,60
75,4,80,85,70,70,85,70,70,100,75,95,30,80,70,80
100,0,100,70,60,60,70,70,60,85,60,70,0,70,70,60
0,70,30,40,40,30,50,30,20,50,100,85,85,50,85,30
70,15,85,20,70,50,50,50,70,50,0,85,25,70,70,80
70,0,85,85,60,15,100,50,50,50,60,70,0,60,0,85
15,70,10,80,40,15,100,85,0,100,65,80,100,35,40,99
85,0,85,100,85,15,100,100,70,100,100,85,15,70,85,85
70,50,50,50,50,50,50,50,85,50,60,60,50,50,50,50
100,0,100,35,40,50,50,75,35,65,50,75,15,50,15,70
100,16,100,100,50,50,100,75,100,100,70,100,50,95,100,95
20,50,60,90,65,60,50,50,80,50,90,90,50,95,75,75
80,0,70,40,50,30,50,50,50,50,45,70,75,70,40,60
0,85,15,15,15,60,70,0,70,70,85,70,60,40,100,50
70,15,85,60,70,0,60,50,15,50,60,85,15,70,60,40
75,0,90,75,80,55,80,80,70,80,70,85,40,75,50,80
100,50,70,70,85,85,70,85,85,85,85,85,70,85,70,70
2,8,50,0,35,65,50,10,80,50,75,80,60,60,65,50
0,100,0,0,100,0,0,50,100,100,100,50,100,0,100,0
50,0,50,7,70,0,70,70,60,70,0,70,50,0,50,50
60,0,100,70,50,40,85,70,60,70,40,85,15,70,50,85
50,50,0,50,50,50,50,50,50,50,50,50,50,50,50,50
30,30,50,15,50,40,50,50,50,50,85,50,50,50,50,50
0,60,50,15,50,0,50,0,30,50,40,50,50,50,60,40
0,70,15,0,0,85,0,0,100,85,85,85,85,50,85,50
85,0,90,85,90,15,90,50,15,75,30,100,5,45,40,70
50,0,100,50,100,50,100,100,100,100,50,85,50,50,50,100
0,85,75,50,50,70,20,10,75,20,100,65,100,75,100,75
85,30,90,55,70,75,55,55,60,60,70,85,55,65,55,80
15,85,50,70,50,15,50,30,85,50,85,60,85,60,70,85
0,70,70,40,50,85,0,0,100,60,85,60,85,60,85,70
60,85,50,60,15,60,85,40,70,40,70,50,50,50,85,50
50,85,50,50,100,15,50,70,100,85,85,100,100,50,50,85
100,15,100,85,85,50,100,85,100,85,85,100,85,85,70,100
40,0,50,40,40,40,30,50,50,50,15,60,40,40,50,15
60,40,100,85,15,60,60,50,100,100,100,80,85,100,100,85
0,100,0,50,85,60,50,50,100,50,100,40,100,70,50,15
100,0,50,100,50,0,100,100,100,100,100,50,50,0,100,50
0,100,50,50,50,50,50,50,100,50,60,70,50,60,60,85
0,0,0,40,50,0,50,0,0,50,40,100,50,0,40,40
60,85,15,50,50,60,50,50,85,60,60,50,60,60,50,60
70,0,100,80,90,30,70,60,60,70,60,80,0,50,40,70
15,70,60,60,60,50,50,50,100,70,85,70,85,60,85,70
70,0,85,70,70,50,70,70,50,70,0,50,15,15,50,50
30,70,85,15,30,85,50,50,50,50,60,100,40,50,50,100
100,50,100,85,70,70,60,70,60,60,80,85,50,100,60,100
25,35,45,30,15,45,50,50,40,50,95,75,75,45,60,45
70,0,50,50,40,40,50,50,50,50,60,50,0,60,60,50
85,30,85,70,60,50,60,50,70,70,85,85,15,85,50,85
60,15,70,50,60,50,100,85,60,100,85,85,50,80,70,85
0,40,0,30,40,0,50,50,70,85,40,50,70,15,70,15
70,0,70,85,70,60,60,100,60,70,40,60,50,70,65,40
0,70,50,50,50,50,100,50,50,50,50,50,50,50,50,50
50,0,85,50,40,40,50,50,50,50,50,50,30,50,50,50
50,50,50,15,60,60,50,50,30,50,70,85,50,50,15,60
50,50,50,50,50,50,50,50,100,100,85,50,50,50,50,50
70,30,75,50,60,50,30,50,50,50,75,75,40,50,75,70
70,15,70,40,70,0,40,60,85,85,30,40,100,80,100,70
100,0,100,50,50,40,50,50,50,50,50,100,40,50,50,100
45,51,75,45,40,50,50,60,80,70,65,90,35,40,90,70
86,0,86,70,40,70,50,50,40,50,70,86,15,86,50,86
15,60,30,40,30,60,50,50,50,50,100,70,60,100,70,80
30,100,50,50,85,100,100,60,85,100,100,100,100,100,85,85
90,0,50,79,50,10,100,50,15,50,40,100,50,60,50,60
15,85,30,50,70,70,15,0,100,100,85,85,85,70,85,30
70,15,85,70,70,85,40,50,85,50,50,85,30,70,85,85
100,0,100,90,87,75,70,75,60,90,30,97,0,70,42,68
60,0,90,30,30,10,50,50,50,50,30,90,0,70,50,70
70,30,85,40,70,70,50,40,85,50,100,100,85,70,100,85
70,15,50,60,70,60,100,100,100,100,100,100,50,60,50,100
15,85,40,50,50,40,60,50,85,50,60,50,60,60,60,60
0,78,5,0,100,50,50,5,50,50,80,100,100,100,100,100
0,100,100,50,50,50,50,50,50,50,100,100,100,100,50,100
0,100,100,75,50,80,50,50,100,50,80,100,100,100,75,100
40,15,85,50,50,30,60,100,100,100,50,100,15,85,85,70
60,85,40,60,100,70,50,30,85,70,100,85,85,85,85,70
30,85,50,30,50,60,50,60,70,60,70,50,85,70,60,40
100,0,100,85,70,40,100,40,100,85,100,100,60,85,85,100
50,85,0,15,85,70,50,85,50,50,0,70,15,15,50,40
70,60,50,85,70,70,85,85,85,85,85,85,50,85,85,85
70,0,70,100,100,60,100,100,100,100,0,100,0,50,0,100
60,30,50,60,50,40,50,50,50,50,50,100,30,60,50,100
30,15,50,85,85,50,100,70,70,70,60,100,50,100,50,85
85,15,85,85,85,70,50,85,70,70,85,85,60,85,85,85
85,0,100,85,100,30,85,85,100,85,70,85,0,85,85,85
0,85,40,15,100,50,30,50,60,30,100,100,40,85,70,100
100,0,100,75,50,0,100,50,50,50,50,100,0,50,50,75
85,0,100,85,70,15,100,70,0,85,60,100,0,85,70,70
70,15,70,50,70,50,50,50,100,70,40,85,60,70,50,100
0,60,85,15,50,50,50,50,100,100,100,70,50,50,100,85
0,85,40,50,40,60,50,50,85,60,85,70,85,60,85,60
100,0,100,0,40,50,50,85,50,100,85,100,0,50,15,85
50,70,0,85,85,70,85,60,100,70,85,85,70,85,70,70
0,100,85,50,60,50,50,50,50,50,100,100,85,50,50,85
60,35,50,30,75,65,70,85,60,85,60,100,50,60,75,75
30,30,70,50,70,15,50,30,50,90,75,95,50,35,85,100
50,50,50,50,50,50,50,100,100,100,50,50,50,50,50,50
60,30,50,100,100,40,50,50,85,50,100,100,50,70,50,15
0,100,30,25,50,60,70,60,90,100,90,60,100,60,85,50
30,15,40,40,50,40,70,85,85,85,79,60,40,60,85,40
50,0,85,50,85,50,50,50,100,50,30,50,40,50,50,100
85,50,100,50,70,50,50,60,85,100,100,100,70,100,85,85
100,0,85,70,85,70,70,70,85,85,85,100,70,85,60,85
40,70,30,50,60,50,50,50,50,40,60,60,50,50,50,50
15,50,70,100,50,70,100,70,70,70,85,85,70,70,90,85
60,40,30,60,100,15,50,70,70,70,85,100,60,85,85,50
40,50,60,50,50,30,60,50,60,50,60,70,50,50,60,70
85,0,85,50,85,30,50,50,85,80,40,100,50,50,80,85
0,0,100,15,85,50,15,0,100,85,100,100,100,100,100,100
85,0,100,85,70,30,50,85,100,100,85,85,0,85,40,85
40,60,85,30,60,70,50,50,70,50,85,100,50,85,85,85
0,0,60,100,100,60,0,50,0,0,0,100,50,0,100,100
50,15,90,85,75,25,90,85,85,90,60,90,30,85,45,75
100,50,95,75,80,85,75,50,80,95,90,100,0,90,75,90
50,60,60,40,70,30,85,70,85,85,85,70,70,70,85,70
0,100,70,70,60,85,85,85,100,100,100,70,85,70,70,85
0,85,85,50,0,60,50,70,85,100,100,85,60,60,50,60
70,0,50,100,50,15,100,100,0,50,30,100,40,50,50,100
50,15,70,50,100,85,100,50,50,50,100,100,100,85,100,85
60,0,100,100,40,30,70,50,50,100,100,100,30,70,100,100
85,0,60,50,50,50,50,50,50,50,50,50,50,50,50,50
0,100,0,50,0,100,50,50,50,50,100,60,100,0,85,0
40,50,70,50,60,40,50,50,50,50,60,70,60,40,60,60
100,85,85,100,0,0,0,15,100,30,100,100,50,70,100,100
0,0,0,15,100,15,50,0,0,0,60,50,100,50,50,85
0,75,40,45,50,40,50,70,70,50,70,70,50,50,50,45
30,0,70,70,60,50,70,50,85,70,85,85,70,85,70,85
15,40,30,50,50,30,60,50,70,60,70,60,70,60,70,50
0,85,30,50,50,50,50,50,50,50,70,85,50,50,100,15
0,100,50,50,50,50,50,50,85,50,50,50,70,70,50,70
30,30,70,40,40,30,85,40,40,40,40,100,15,85,70,60
100,0,100,60,60,0,60,0,70,0,0,60,0,40,100,70
85,0,70,90,100,40,100,80,55,90,65,100,30,80,85,90
0,85,0,0,70,15,0,15,40,100,85,50,85,50,85,15
60,50,90,50,70,50,50,50,100,60,100,60,85,90,50,100
30,0,85,50,70,10,100,80,35,90,50,100,5,50,50,80
0,100,85,50,0,85,50,50,100,100,100,85,100,40,100,70
60,0,50,40,50,60,0,40,100,50,70,90,20,50,90,50
70,15,85,50,40,60,50,40,40,50,85,85,40,70,60,60
0,100,40,60,85,85,15,15,100,70,100,85,100,70,100,70
0,60,60,50,40,60,50,40,60,60,60,30,70,40,70,40
0,85,60,70,60,70,50,50,70,50,70,60,70,40,80,70
85,15,85,50,50,50,50,50,50,50,50,85,0,85,70,85
85,40,85,60,70,40,50,40,85,50,100,85,70,100,85,100
0,100,30,70,100,100,50,85,100,70,100,60,100,100,85,100
15,70,50,60,15,50,70,40,70,85,30,85,70,30,85,40
70,50,70,50,50,80,70,50,100,50,85,50,50,70,100,50
30,100,85,0,40,90,50,50,40,50,95,95,95,95,50,50
15,85,60,40,30,85,70,30,85,50,90,60,75,60,95,60
0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
70,50,30,0,0,50,0,50,100,70,0,100,40,0,30,80
80,70,90,40,50,85,100,85,60,100,85,100,50,75,40,85
0,100,0,0,0,0,90,50,75,100,95,60,90,20,100,35
55,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0
80,65,85,80,90,90,20,50,100,95,95,95,90,90,70,90
100,0,100,100,100,0,100,85,85,85,40,100,30,70,60,100
60,0,100,50,45,40,50,75,95,75,70,60,50,60,60,50
0,100,50,50,100,30,50,20,100,50,100,50,100,75,100,60
100,0,100,90,80,40,90,80,80,90,70,90,10,90,90,50
0,0,0,100,60,0,90,95,0,15,0,25,0,0,25,65
0,70,0,15,30,100,60,70,100,40,50,40,85,0,70,15
60,15,100,100,70,50,100,100,100,100,50,100,70,85,100,100
0,90,10,0,0,50,50,10,50,60,85,15,85,35,85,0
30,85,50,50,50,70,50,50,70,50,100,50,100,100,80,100
50,30,80,70,80,40,90,70,80,70,50,90,40,50,70,80
70,15,85,60,50,60,85,50,85,85,90,85,60,80,75,80
100,15,100,100,70,60,100,100,0,100,30,100,5,60,0,85
0,0,30,40,50,0,50,50,70,50,30,85,40,50,70,60
75,40,85,90,75,30,100,90,15,55,65,100,5,85,55,90
70,50,100,85,80,85,50,50,15,80,85,100,0,85,100,85
70,60,15,100,50,100,100,85,70,85,50,70,70,60,50,60
70,0,75,45,50,50,69,80,15,80,60,100,35,55,50,75
70,15,100,100,50,50,100,100,100,100,100,100,50,85,50,100
40,60,50,50,50,30,50,50,50,50,50,50,100,50,60,85
0,100,70,70,85,70,50,40,85,85,100,70,85,85,85,70
15,85,60,30,60,50,60,40,100,100,85,50,85,70,100,85
0,100,30,50,50,30,50,50,50,50,90,50,95,50,50,50
70,40,100,85,60,70,85,70,100,60,60,100,30,70,85,100
40,0,7,50,50,30,50,50,50,50,40,70,70,60,60,30
60,40,50,85,100,0,100,85,70,100,70,85,100,70,70,50
50,60,85,50,85,70,50,50,50,85,85,85,85,85,85,70
30,40,60,15,70,60,70,70,85,70,70,60,50,70,50,70
0,100,60,60,50,50,15,50,100,50,85,70,100,60,100,60
0,50,50,0,50,50,50,50,100,50,100,50,10,50,50,50
0,85,100,0,85,85,85,85,100,85,100,85,85,100,50,50
85,70,85,85,70,85,60,85,100,70,70,100,50,60,85,70
0,100,50,0,50,70,70,70,50,75,85,65,80,75,80,65
70,70,0,15,100,100,85,85,85,100,100,100,100,100,100,85
60,40,70,85,50,40,50,40,70,60,60,60,40,50,50,50
100,0,50,85,100,50,100,50,50,50,85,85,50,85,85,50
40,60,70,50,30,50,0,15,100,50,85,60,50,50,100,100
0,100,0,0,100,0,0,0,100,100,100,100,100,0,100,0
70,15,70,70,70,0,85,70,40,70,40,85,15,50,50,70
85,15,100,70,70,70,100,100,100,100,70,100,60,70,85,85
60,50,70,50,60,40,85,85,85,100,100,85,50,70,50,70
60,0,85,30,50,60,50,100,60,15,15,70,0,0,15,50
85,0,100,50,50,50,50,40,50,50,50,85,60,50,50,85
100,0,100,85,50,60,100,100,60,100,60,100,0,60,70,85
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0,0,0,50,80,0,100,85,30,100,40,80,60,30,100,70
0,40,50,40,30,60,50,50,85,50,60,50,30,40,85,50
70,10,55,80,50,3,95,90,10,90,55,84,58,55,85,60
85,15,50,70,70,60,100,100,50,100,70,100,50,70,70,100
0,100,80,100,50,50,100,85,85,100,100,100,100,100,100,50
50,15,50,50,40,50,50,50,60,60,40,60,40,50,60,60
100,100,70,100,100,50,100,100,100,100,60,100,100,100,85,100
70,15,70,100,50,60,50,40,100,100,60,100,0,85,40,85
60,0,70,85,50,30,70,50,85,50,85,85,70,70,85,85
15,85,85,30,85,15,40,40,85,40,40,85,30,30,70,60
0,100,40,85,70,50,100,50,70,70,60,85,70,70,50,70
70,50,50,50,100,50,50,40,70,50,50,100,50,50,50,50
65,0,70,50,50,15,70,50,60,70,60,85,30,60,60,70
50,50,60,50,50,50,40,50,100,50,50,100,50,50,50,70
42,38,0,45,55,0,85,75,50,75,25,100,50,90,80,0
40,50,70,90,70,85,100,100,100,100,90,90,50,65,60,70
70,15,60,100,50,60,100,100,50,85,60,100,70,50,70,70
40,40,60,40,40,40,50,50,90,50,60,60,50,40,60,50
30,70,15,30,70,60,50,50,100,60,85,85,85,50,100,60
85,0,100,100,85,20,80,75,85,85,65,85,0,50,50,75
70,70,50,60,60,40,50,50,60,60,50,55,55,55,50,70
50,0,75,50,50,15,100,100,50,70,40,100,0,50,15,50
0,100,0,50,50,50,100,50,50,50,70,50,50,50,50,30
60,40,85,40,40,40,50,50,50,50,70,85,15,50,70,85
65,0,100,75,75,30,100,40,30,70,15,100,40,70,40,70
15,15,30,0,0,30,85,60,85,85,60,15,0,40,85,15
60,30,50,50,50,30,50,40,50,50,30,50,50,50,50,50
0,100,30,40,85,15,85,60,100,40,100,70,70,40,50,30
70,0,100,90,100,10,100,100,40,100,40,100,0,85,60,100
70,50,70,60,85,50,85,60,60,85,85,100,50,70,50,70
70,15,85,50,80,25,75,75,75,80,95,80,27,82,50,90
60,50,100,70,15,50,50,50,50,50,70,100,50,50,100,85
60,0,85,100,50,40,85,50,40,85,35,65,40,100,40,30
70,15,60,70,50,40,100,100,60,100,40,85,15,85,40,50
70,30,85,15,50,30,100,50,15,15,85,100,15,50,50,25
60,50,85,50,50,60,50,50,70,50,70,70,40,50,70,70
50,50,50,50,50,50,50,50,50,50,50,60,60,50,40,50
50,50,40,50,50,50,50,50,85,50,85,60,50,50,50,50
60,0,70,70,70,60,70,60,100,85,100,85,60,85,85,85
70,10,85,70,45,35,50,55,75,60,70,70,35,65,60,75
100,0,85,60,100,40,60,60,70,70,70,85,15,70,50,100
60,15,75,50,65,45,50,50,50,50,50,85,50,50,50,70
0,100,75,50,50,75,50,50,75,100,100,100,100,25,100,50
50,100,50,100,50,50,100,100,100,50,100,50,100,0,100,100
30,50,75,90,80,75,80,75,90,100,90,90,90,80,90,90
30,70,40,60,60,40,50,50,100,70,85,85,60,70,70,70
70,0,85,60,85,15,85,50,40,85,70,100,15,85,60,60
15,100,40,70,60,60,60,40,85,70,100,85,70,70,85,70
0,100,50,50,40,40,50,50,85,50,85,85,85,85,70,30
40,40,40,50,60,30,50,60,50,50,50,50,50,50,60,40
60,0,100,40,40,5,60,50,40,50,65,80,40,30,100,60
15,100,50,15,100,70,40,50,100,50,85,50,100,50,100,50
30,30,50,40,30,15,50,50,70,70,50,85,0,30,50,50
40,70,85,50,30,70,85,50,60,70,70,85,70,70,85,85
70,0,85,100,70,60,0,50,100,100,70,70,0,70,85,70
80,0,95,40,35,25,40,40,40,40,70,100,30,60,35,40
85,0,100,60,50,15,50,50,60,60,50,85,0,60,15,85
85,0,85,85,60,50,70,70,70,70,70,70,50,50,70,70
50,50,60,50,60,50,50,50,50,50,60,50,50,50,50,50
0,50,50,56,60,70,50,50,85,50,40,65,100,45,65,65
0,85,50,0,30,70,70,70,70,70,85,70,85,60,85,40
100,0,100,85,50,60,85,50,50,70,70,100,15,70,70,85
